train_id,score,config/epochs,config/lr,config/momentum,config/hidden_size,config/hidden_length
12,0.8533333333333334,100,0.0023326264205438623,0.9813081346829347,256,3
11,0.84,100,0.0032520929615440356,0.9805618549145737,128,2
44,0.84,100,0.009876058798873173,0.9414282035038741,256,1
26,0.8366666666666667,100,0.009211512309135928,0.9144610375888671,256,1
42,0.8366666666666667,100,0.0037475561611931166,0.9713624302316695,256,1
22,0.8366666666666667,100,0.006627633345000078,0.9559297387465732,256,3
38,0.8366666666666667,100,0.0033869672011498588,0.9802718952955048,256,2
20,0.8333333333333334,100,0.007575150531459506,0.906684656266398,256,3
15,0.83,100,0.00966593726236166,0.9315076446178912,128,2
39,0.83,100,0.008788045228961039,0.9883767325274869,128,1
3,0.83,100,0.009435570405400781,0.9295452892590435,128,3
2,0.8266666666666667,100,0.006275046262464253,0.9410116747016557,256,3
6,0.8266666666666667,100,0.009894146787766822,0.9895134736200212,256,2
10,0.8233333333333334,100,0.009150068191228055,0.9277750919914759,256,3
13,0.8233333333333334,100,0.008216001759394598,0.9085937970024721,128,2
40,0.8233333333333334,100,0.00809897831771966,0.9309496553584559,256,1
19,0.8233333333333334,100,0.005285962633459849,0.924483272313197,128,2
28,0.8233333333333334,100,0.005866348293621428,0.9895313138734053,256,3
4,0.8233333333333334,100,0.007425599315886325,0.9693022220090995,256,2
25,0.8233333333333334,100,0.004629479333576635,0.9794097237536646,128,3
34,0.82,100,0.009228367789705335,0.9340001761996061,256,1
24,0.82,100,0.005922572647320913,0.9688003827612857,256,1
30,0.8166666666666667,100,0.003041188829949049,0.9206926144006059,256,2
32,0.8133333333333334,100,0.0056703750420838625,0.9805938562429366,256,1
46,0.8133333333333334,100,0.004594029551714443,0.9565605793963987,256,2
45,0.81,100,0.0066909039151126695,0.9096099107705612,128,1
49,0.81,100,0.0048673697328414055,0.9688623283767767,128,3
47,0.8066666666666666,100,0.003166164116694639,0.955408873529596,128,2
48,0.8033333333333333,100,0.0013598449330577162,0.9484119863440789,256,2
8,0.8033333333333333,100,0.0020593427008103902,0.9154266066600009,256,1
14,0.8,100,0.005355385969024659,0.9049296529608015,256,3
16,0.7933333333333333,100,0.0037387443422766606,0.952569710478907,256,3
33,0.7633333333333333,100,0.0017943096228791298,0.9848815983461963,128,2
7,0.7,100,0.0011137474312342848,0.9085572757875237,128,1
9,0.6366666666666667,100,0.0028580647266334106,0.9435544258143906,128,3
1,0.6266666666666667,100,0.0007893935918361865,0.9638890971727232,128,1
31,0.6133333333333333,100,0.0029480587732534794,0.9380444285314194,128,3
41,0.5866666666666667,100,0.0032684783020235164,0.9636142236116538,128,3
37,0.5833333333333334,100,0.0005179075126398478,0.9720923178884842,128,2
35,0.5833333333333334,100,0.004940808253417313,0.9003596686291772,128,3
5,0.5733333333333334,100,0.005759642161924412,0.9530687218268747,128,3
50,0.51,100,0.0009673985402853267,0.9434763275626881,256,2
43,0.5066666666666667,100,0.00024626665738033466,0.9529448405421073,128,2
29,0.5033333333333333,100,0.0014366698792054415,0.9733818441015092,128,1
27,0.5033333333333333,100,0.0007245958327300988,0.9322459161438923,128,3
23,0.5,100,0.0006248336300596456,0.9342732776417583,128,1
36,0.4966666666666666,100,0.0008228320801863515,0.9494122865790684,256,3
18,0.4766666666666667,100,0.00024998100781927846,0.9554510595177683,256,3
21,0.47,100,0.0005237044625332802,0.9201061865496692,128,2
17,0.43,100,0.0024683861050028033,0.977883613211236,128,3
