train_id,score,config/criterion,config/n_estimators,config/max_depth
15,0.8666666666666667,gini,161,7
23,0.8633333333333333,entropy,106,4
5,0.8633333333333333,entropy,106,8
8,0.8633333333333333,entropy,107,8
10,0.86,entropy,73,5
11,0.86,entropy,93,9
7,0.86,entropy,143,5
18,0.8566666666666667,entropy,116,9
2,0.8566666666666667,entropy,157,4
12,0.8566666666666667,gini,182,9
19,0.8566666666666667,gini,167,9
9,0.8566666666666667,gini,101,8
4,0.8533333333333334,gini,162,7
24,0.8533333333333334,entropy,112,4
13,0.8533333333333334,entropy,187,5
14,0.85,gini,51,7
6,0.85,gini,106,8
21,0.85,gini,138,5
20,0.8466666666666667,gini,135,4
1,0.8466666666666667,entropy,121,6
16,0.8466666666666667,gini,59,4
3,0.8466666666666667,gini,176,4
17,0.84,entropy,90,3
22,0.8266666666666667,entropy,66,3
25,0.8266666666666667,gini,51,3
